t,current_joint_0,current_joint_1,current_joint_2,current_joint_3,current_joint_4,current_joint_5,nominal_err_0,nominal_err_1,nominal_err_2,nominal_err_3,nominal_err_4,nominal_err_5,rpy_err_0,rpy_err_1,rpy_err_2,setpoints_0,setpoints_1,setpoints_2,setpoints_3,setpoints_4,setpoints_5,vehicle_rpy_0,vehicle_rpy_1,vehicle_rpy_2,vehicle_xyz_0,vehicle_xyz_1,vehicle_xyz_2,xyz_err_0,xyz_err_1,xyz_err_2,zeta_0,zeta_1,zeta_2,zeta_3,zeta_4,zeta_5,zeta_6,zeta_7,zeta_8,zeta_9,zeta_10,zeta_11
1770739694.392308,0.062949,0.565316,0.301373,0.502655,-0.910760,0.219061,-0.000117,0.000171,-0.002922,-0.000000,-0.000302,0.000851,0.040039,0.010000,0.001168,-0.129691,0.115624,0.069494,-0.037133,0.265475,-0.697609,-0.040039,-0.010000,0.498832,-0.002857,0.000876,1.999704,0.002857,-0.000876,0.000296,0.004179,-0.004275,0.000083,0.000023,0.009888,0.002732,-0.000117,0.000171,-0.002919,-0.000000,-0.000302,0.000850
1770739793.792195,0.738308,-0.675408,0.077921,-0.722566,-0.816945,-0.612876,-0.000034,-0.000034,0.000618,-0.000000,0.000131,0.000265,0.069889,-0.009982,-0.003372,-0.128948,0.139655,-0.064354,0.035581,-0.298170,-0.572363,-0.069889,0.009982,0.503372,-0.006826,-0.000910,1.999396,0.006826,0.000910,0.000604,0.012817,-0.005025,0.000381,0.000067,-0.009478,-0.007417,-0.000034,-0.000034,0.000618,-0.000000,0.000131,0.000265
1770739889.392191,-0.439908,-0.346456,0.779779,-0.109956,-0.848186,0.283836,0.000085,0.000881,-0.010089,0.000000,-0.000044,-0.001093,0.005563,0.009995,0.000050,-0.080703,0.059583,0.070915,-0.045458,0.244686,-0.690779,-0.005563,-0.009995,0.499950,0.006870,-0.002354,2.000192,-0.006870,0.002354,-0.000192,-0.009793,0.010708,-0.000035,0.000001,0.009984,0.000155,0.000085,0.000880,-0.010079,0.000000,-0.000044,-0.001092
1770739958.992191,-0.157076,-0.439826,-0.612624,-0.628319,-1.492259,-0.769681,-0.000003,0.000003,0.000014,-0.000000,0.000003,-0.000009,0.048194,-0.009986,-0.001390,-0.116762,0.129819,-0.029341,-0.048564,-0.154033,-0.626970,-0.048194,0.009986,0.501390,-0.002884,0.004440,1.999788,0.002884,-0.004440,0.000212,0.000788,-0.010546,-0.000289,0.000028,-0.009831,-0.003254,-0.000003,0.000003,0.000014,-0.000000,0.000003,-0.000009
1770740007.492158,0.172656,-0.314318,0.442075,-0.706858,-1.256356,-0.219645,0.000132,0.000159,-0.002252,-0.000000,-0.000281,-0.000267,0.077808,0.009994,0.005518,-0.160347,0.149236,0.048775,0.032567,0.117762,-0.655681,-0.077808,-0.009994,0.494482,-0.007129,0.006093,1.998304,0.007129,-0.006093,0.001696,0.006777,-0.017550,0.000264,0.000110,0.009097,0.011767,0.000132,0.000159,-0.002250,-0.000000,-0.000281,-0.000266
1770740037.492159,-0.094245,-0.376986,-0.439802,0.235619,-1.445132,-0.534086,-0.000002,-0.000005,-0.000021,0.000000,-0.000001,0.000015,0.023762,-0.006472,-0.018867,-0.087150,0.099909,0.028829,-0.056726,0.024213,-0.646992,-0.023762,0.006472,0.518867,0.011075,-0.009814,1.997897,-0.011075,0.009814,0.002103,-0.009505,0.027945,0.002705,0.000244,-0.005568,-0.037839,-0.000002,-0.000005,-0.000021,0.000000,-0.000001,0.000015
1770740067.492224,0.502653,0.125657,-0.408242,-0.204204,-0.596898,-0.408374,0.000002,0.000007,-0.000165,-0.000000,-0.000004,-0.000033,0.069560,-0.006811,0.010972,-0.141065,0.148923,-0.029214,-0.037753,-0.127327,-0.632172,-0.069560,0.006811,0.489028,-0.002355,0.007949,2.001552,0.002355,-0.007949,-0.001552,-0.003297,-0.016082,-0.002697,-0.000149,-0.008312,0.021395,0.000002,0.000007,-0.000165,-0.000000,-0.000004,-0.000033
1770740097.592213,-0.785406,-0.219872,0.031062,0.769690,-0.329906,0.000418,0.000008,-0.000039,0.000354,0.000000,0.000039,-0.000418,-0.008552,-0.005757,-0.023206,0.021719,0.038850,0.050536,-0.067341,-0.168295,-0.624423,0.008552,0.005757,0.523206,0.011556,-0.018817,1.995951,-0.011556,0.018817,0.004049,-0.001238,0.044137,0.003661,0.000267,-0.006148,-0.046314,0.000008,-0.000039,0.000354,0.000000,0.000039,-0.000418
1770740167.992169,0.282617,0.329225,0.367432,-0.298451,-0.298388,-0.311618,0.000126,0.000643,-0.006149,-0.000000,-0.000063,-0.002542,0.070628,0.009997,0.004270,-0.156405,0.145905,0.057132,-0.009492,0.189975,-0.672806,-0.070628,-0.009997,0.495730,-0.001794,0.006582,1.998431,0.001794,-0.006582,0.001569,-0.003086,-0.013352,0.000658,0.000085,0.009360,0.009214,0.000126,0.000642,-0.006143,-0.000000,-0.000063,-0.002539
1770740197.992193,-0.267185,0.690747,0.160290,0.204204,-0.015695,0.488022,0.000150,0.000403,-0.003210,0.000000,-0.000013,-0.001076,0.021632,0.005410,-0.018476,-0.097740,0.089522,0.057406,-0.041914,0.219298,-0.682008,-0.021632,-0.005410,0.518476,0.009470,-0.009487,2.002229,-0.009470,0.009487,-0.002229,-0.007054,0.025882,-0.001629,-0.000200,0.006202,-0.036788,0.000150,0.000403,-0.003207,0.000000,-0.000013,-0.001074
